ID;Nom startup;description fr;description en;web;creation;Dirigeants;Nbr employes;employeesref;Code postal;Région;Logo;A levé des fonds;Souhaite levé des fonds;Récompensé;enregistré le;Id video youtube;internationale;Pays;facebook;twitter;linkedin;type;filter_types_1;filter_types_2;filter_types_3;filter_clients_1;filter_clients_2;filter_clients_3;filter_clients_4;filter_clients_5;filter_clients_6;filter_services_1;filter_services_2;filter_services_3;filter_services_4;filter_services_5;filter_services_6;filter_services_7;filter_services_8;filter_services_9;filter_secteurs_1;filter_secteurs_2;filter_secteurs_3;filter_tech_1;filter_tech_2;filter_tech_3;filter_tech_4;filter_tech_5;filter_tech_6;filter_tech_7;filter_tech_8;filter_tech_9;filter_tech_10;filter_tech_11;filter_tech_12;filter_tech_13;users_1;users_2;users_3;users_4;users_5;users_6;users_7;users_8
13;APIdou;"APIdou est le compagnon numérique des enfants (+3 ans) qui leur permet de jouer, de s'instruire et de se sensibiliser à la technologie. 
C'est une peluche interactive offrant un accès aux mondes connectés et conçue pour eux à la différence des smartphones et tablettes.
Sensible au toucher et aux mouvements, APIdou ne sollicite ni la vue ni l’ouïe ce qui permet à l’enfant de rester ouvert sur le monde qui l'entoure.
APIdou apporte un peu d'affection dans le monde dur et froid de l'iOt !";"APIdou is a sensory interface for kids : it’s a connected plush toy equipped with fabric sensors and accelerometers linked with an open platform helping makers create games for their children.

It allows kids to interact by the touch and the gestures with all the objects which are connected :  smartphones, tablets, PC's or Arduino's.

APIdou is a way to learn by having fun, a way to interact with games or stories on phones or tablets, and a way to command the electronic devices in the kid's room";http://apidou.fr;2015;Rémi Bouton, Ilann Adjedj;1-5;1;75014;IDF;uploads/logo/apidou_logo.jpg;1;0;1;2018-02-16 15:24:17;;;;;;@rbouton;Start-up/PME;;Start-up/PME;;;;Particuliers;;;;;Formation à des compétences numériques;;;;;Services pour publics à besoins éducatifs particuliers ;;;Scolaire & parascolaire;;;Contenus innovants;Serious game / learning apps;;;;;;;;;;;;Élèves de maternelle;;;;;;;
14;Apolearn;"Apolearn est une plateforme LMS ""Learning Management System"", sociale et collaborative, dédiée aux professionnels de l’éducation et de la formation. Apolearn plateforme moderne et ergonomique alliant réseau social collaboratif et LMS, propose la création de classe en ligne, MOOC et SPOC. La société s’appuie sur l’expertise des ses dirigeants, Sami Labidi et Brice Gaillard, également fondateurs de la société Beechannels (Beebac.com, viaeduc.fr).";Apolearn is an online Learning Management System with fully integrated social and collaborative tools, designed with Education and Training professionals in mind. Teachers and Trainers make the most of Apolearn by building online courses, MOOCs and SPOCs. Apolearn was created in December 2015 by two Ed Tech French professionals, Sami Labidi and Brice Gaillard, also founders of Beechannels, the company who launched Beebac.com and viaeduc.fr.;https://apolearn.com/;2016;Sami Labidi;1-5;2;75000;IDF;uploads/logo/apolearn_logo.jpg;1;0;0;2018-02-16 15:24:17;;;;;;https://www.linkedin.com/in/slabidi/;Start-up/PME;;Start-up/PME;;Enseignants & établissements;Entreprises;;Organismes de formation;Services publics ou associations;;Outils de gestion pour enseigner et former;Formation à des compétences numériques;;;;;;;;;Enseignement Supérieur;Formation tout au long de la vie;;;Solutions de distribution;;Learning Management System / CMS;Social media / outils de collaboration;;;;;;;;;;Étudiants;;Établissement et professionnels de l'enseignement;;Individus en emploi;
15;AppiNest;AppiNest développe l'application Pistache qui motive les enfants à faire leurs petites tâches du quotidien (se brosser les dents, ranger sa chambre, faire ses devoirs, ect.) grâce au jeu.;AppiNest has created Pistache, the app that motivates kids to do their daily chores (brush their teeth, tidy up their room, do their homework), thanks to games.;http://pistache-app.com;2015;Thibault Louis-Lucas, Thomas Jacquesson, Benjamin Cotte;1-5;2;75020;IDF;uploads/logo/appinest_logo.jpg;1;0;1;2018-02-16 15:24:18;;;;;;https://fr.linkedin.com/in/benjamincotte;Start-up/PME;;Start-up/PME;;;Entreprises;Particuliers;;;;;Formation à des compétences numériques;;;;Activités extra-scolaires et développement personnel;;;;Scolaire & parascolaire;;;;Serious game / learning apps;;;;;;Technologies de back / middle office, connections;;Supports / équipements;;;;;Élèves du CP à la terminale;;;;Particuliers;;
16;Apprentus;Aider les personnes qui veulent apprendre une activité à trouver le meilleur professeur particulier près de chez eux.;Help people who wants to learn anything to find the best local teacher nearby.;http://www.apprentus.fr;2014;Gaetan Deremince, Marius Andra, Janne Harju;1-5;1;75017;IDF;uploads/logo/apprentus_logo.jpg;1;0;0;2018-02-16 15:24:18;;;;;;;Start-up/PME;;Start-up/PME;;;;Particuliers;;;;;;;;Services aux familles et étudiants;Activités extra-scolaires et développement personnel;;;;Scolaire & parascolaire;Enseignement Supérieur;Formation tout au long de la vie;;;;;;;Plateforme d'agrégation et distribution de services;;;;;;;;Élèves du CP à la terminale;Étudiants;Apprentis et étudiants en voie professionnelle;;Particuliers;;Individus en reconversion ou sans emploi
17;AppScho;"Chez AppScho nous aidons les Établissements du Supérieur à innover et se démarquer en offrant une app temps réel à leurs étudiants.

Cette approche unique est possible par l’association d’une technologie novatrice et de services destinés à centraliser la scolarité sur mobile.

Les étudiants bénéficient d'une application unique pour accéder à toute leur scolarité (notes, plannings, jobs, news, etc.) et les établissements bénéficient d'un canal de communication unique vers leurs étudiants";"AppScho is a branded campus app that drives student engagement and retention. We help Higher Education Institutions to innovate ​​by offer​ing​ a mobile service to their staff and students.
 
This unique approach is made possible by the association of our Google-awarded technology ​and ​mobile ​services t​o​ centralize all of relevant student information into one seamless experience that reduce stress and complexity.";http://appscho.com;2014;Victor Wacrenier, Antoine Popineau, Mathieu Fustec;1-5;3;75018;IDF;uploads/logo/appscho_logo.jpg;1;0;1;2018-02-16 15:24:18;;;;;;https://fr.linkedin.com/in/victorwacrenier;Start-up/PME;;Start-up/PME;;Enseignants & établissements;;;;;;Outils de gestion pour enseigner et former;;;;Services aux familles et étudiants;;;;;;Enseignement Supérieur;;;;;;;;Plateforme d'agrégation et distribution de services;Technologies de back / middle office, connections;;;;;;;Élèves du CP à la terminale;Étudiants;;Établissement et professionnels de l'enseignement;;;
18;Aptilink;"Aptilink est une agence de digital learning. 
Nos activités couvrent l’ensemble des besoins des services formation : conseils stratégique et opérationnel, conception de dispositifs de formation sur mesure, conception et réalisation de ressources pédagogiques (rapid-learning, e-learning, learning games, mobile learning, serious games, vidéo, vidéo interactive), présentiel augmenté, mise en œuvre et administration de LMS, marketing de la formation.";"Aptilink is a digital learning agency. 
Aptilink helps you meet the next challenges of the training industry 
Experienced, passionate, we implement learning solutions to:
Optimize the operational excellence of your teams,
Enrich the knowledge of your business and your customers with tailored solutions combining various teaching methods and innovative technologies
Capitalize and assemble all the knowledge of your business in learning ecosystems";http://www.aptilink.com;2012;Pierre Tcherkawsky, Emmanuel Bellengier;1-5;2;78100;IDF;uploads/logo/aptilink_logo.jpg;0;0;1;2018-02-16 15:24:18;;;;;;;Start-up/PME;;Start-up/PME;;;Entreprises;;;;;Outils de gestion pour enseigner et former;Formation à des compétences numériques;Formation à des compétences techniques;;;;;;;;;Formation tout au long de la vie;Contenus innovants;Serious game / learning apps;;;;;;;Blended learning;;;;;;;;;;;Individus en emploi;
20;Ars Nova Systems;Ars Nova Systems est une start-up spécialisée dans le contrôle parental, éditrice de la solution Parentsdanslesparages.com. Elle aide les parents à lutter contre l'hyper-connexion des enfants, et les protège des contenus inadaptés. Multi-supports (Windows, Android, iOS) et pilotable à distance, Parentsdanslesparages.com permet de réguler le temps passé devant les écrans, de filtrer les contenus choquants et de gérer les applications autorisées sur smartphone et tablette.;Ars Nova Systems is a start-up specialized in parental control. We provide a multi-devices and remotely manageable solution to prevent children overconnection and access to inappropriate content : Parentsaround.com. Available on  Windows, Android and iOS, Parentsaround.com helps parents to regulate time spent by their kids on their devices, to filter inappropriate websites and to manage the allowed apps on smartphone and tablet.;https://www.parentsdanslesparages.com/;2012;Yann Mareschal;1-5;2;44300;PDLL;uploads/logo/ars nova systems_logo.jpg;1;0;1;2018-02-16 15:24:19;;;;;;https://fr.linkedin.com/in/yann-mareschal-53902767;Start-up/PME;;Start-up/PME;;Enseignants & établissements;Entreprises;Particuliers;;;;;;;;;;;;Autres;Scolaire & parascolaire;;;;;;Adaptive learning;;;;Technologies de back / middle office, connections;;;;;;;Élèves du CP à la terminale;;;;Particuliers;;
21;AstuciX;AstuciX développe des applications destinées aux étudiants. La premiere version testée est destinée à l'apprentissage des mathématiques de CPGE. L'apprentissage et le suivi personnel d'AstuciX sont fondés sur les sciences cognitives, le machine-learning et plus spécifiquement sur la courbe de l'oubli.  Son algorithme propose des fiches de cours et des exercices en fonctions des coefficients d'apprentissages de l'étudiant.;AstuciX is an application to help students to learn more efficiently. It is based on algorithms which adapt to their personal learning style. It uses both machine learning models and cognitive science.;http://astucix.fr;2017;Max Ricalens, Adil Reghai;1-5;1;31250;OCC;uploads/logo/astucix_logo.jpg;1;1;1;2018-02-16 15:24:19;;;;https://www.facebook.com/astucix/;;https://www.linkedin.com/in/max-ricalens-5019bb98/;Start-up/PME;;Start-up/PME;;Enseignants & établissements;;Particuliers;;;;;;;Formation académique;Services aux familles et étudiants;;;;;;Enseignement Supérieur;;;;;Adaptive learning;;;;;;;;;;;;Étudiants;;;;;
22;ATOUT ON LINE;Création et développement des sites Internet étudiants www.dimension-bts.com, www.dimension-commerce.com et www.dimension-ingenieur.com.;Create and develop student websites for orientation : www.dimension-bts.com, www.dimension-commerce.com et www.dimension-ingenieur.com;http://www.atout-on-line.com/;2004;Julien Dienon, Noël Carbonneaux;1-5;1;92410;IDF;uploads/logo/atout on line_logo.jpg;0;0;0;2018-02-16 15:24:19;;;;;;www.linkedin.com/in/julien-dienon;Start-up/PME;;Start-up/PME;;Enseignants & établissements;;;;;;Outils de gestion pour enseigner et former;;;;Services aux familles et étudiants;;;;;;Enseignement Supérieur;;Contenus innovants;;;;;;;Technologies de back / middle office, connections;;;;;;;;Étudiants;;Établissement et professionnels de l'enseignement;;Individus en emploi;
23;AviTice Solutions;AviTice, développe une suite logicielle innovante pour l’éducation et la formation. Notre gamme ELSA (Adaptive Learning System for Education) est composée d’une plateforme AviTice Learning en Cloud ou autonome, épine dorsale disposant d’outils pédagogiques et d’un ensemble d’applications modulaires ciblées sur des besoins tels que gestion de classe, MDM, MAM, gestion étiquettes, et bien d’autres disponibles ou en cours tels cartable numérique, Tests de compétences, apprentissage par le jeu…;AviTice, develops an innovative software suite for education and training. Our ELSA (Adaptive Learning System for Education) is an AviTice Learning platform in the Cloud or standalone, backbone with pedagogical tools and a set of modular applications targeted to needs such as classroom management, MDM , MAM, management labels, and many others available or in progress such as “numeric satchel”, Skill tests, learning by the game…;http://www.avitice.com;2014;Olivier Le Thiec, Noël Casabianca, Romain Roman, Stéphanie Aline;1-5;2;95100;IDF;uploads/logo/avitice solutions_logo.jpg;1;0;0;2018-02-16 15:24:19;;;;;;www.linkedin.com/in/olethiec;Start-up/PME;;Start-up/PME;;;Entreprises;;;Services publics ou associations;;;Formation à des compétences numériques;;;;;Services pour publics à besoins éducatifs particuliers ;;;Scolaire & parascolaire;Enseignement Supérieur;Formation tout au long de la vie;;Serious game / learning apps;;Adaptive learning;Learning Management System / CMS;;;;;;;;;;Élèves du CP à la terminale;Étudiants;;Établissement et professionnels de l'enseignement;;Individus en emploi;
24;Ayni;"Débloquez votre anglais !
Ayni est une start-up innovante d’apprentissage de la langue anglaise conçue pour débloquer le niveau des français en anglais. Nos élèves gagnent jusqu’à 3 niveau en 3 mois grâce à notre approche interactive et conversationnelle.
Par le biais d’un programme éducatif personnalisé, d'un coaching individuel, d’une plateforme de pratique orale, de ressources éducatives et d’ateliers immersifs, Ayni offre un programme d’étude complet, moderne, et adapté à chaque élève.";"Ayni allows you to learn and practice a language with an immersive and stimulating method.
The application enables real-life conversations with native speakers from all over the world for free, through mutual assistance. For each conversation, you earn points you can use to win exclusive gifts offered by Ayni's partners.";https://ayni.in;2015;Kévin Allec, Jordan Jeandon;1 — 5;1;75005;IDF;uploads/logo/1527505074.jpg;1;0;1;2018-02-16 15:24:20;https://youtu.be/DXQM5Sy4XU4;0;;https://www.facebook.com/aynifr/;;https://fr.linkedin.com/in/kevinallec;Start-up/PME;;Start-up/PME;;;Entreprises;Particuliers;;;;;;Formation à des compétences techniques;;;Activités extra-scolaires et développement personnel;;;;;;Formation tout au long de la vie;Contenus innovants;Serious game / learning apps;;;;Social media / outils de collaboration;Plateforme d'agrégation et distribution de services;;;;;;;;;Étudiants;Apprentis et étudiants en voie professionnelle;;Particuliers;Individus en emploi;Individus en reconversion ou sans emploi
25;Beedeez;"Beedeez propose une solution de Mobile Learning qui dynamise & optimise les formations professionnelles. L'application Beedeez Training utilise les principes de MicroLearning & de Gamification pour offrir une réponse efficace aux contraintes de temps & de mobilité des collaborateurs.
La plateforme d’authoring collaborative Beedeez.com est entièrement intuitive. Transmettre ses connaissances devient simple grâce à la variété des parcours pédagogique, favorisant ainsi la diffusion des savoirs.";"Beedeez offers a Mobile Learning solution to boost and optimize trainings. The Beedeez Training app uses the latest Microlearning and Gamification tachniques and research to offer an effective response to staff's constraints of time and mobility.

The Beedeez.com authoring platform is entirerly intuitive and collaborative. Knowledge transfer has never been easier thanks to the wide variety of educational/training tools.";http://www.beedeez.com;2015;Julien Huelvan, Morgan Laupies, Quentin Brunel, Rémi Deh;1-5;1;75000;IDF;uploads/logo/beedeez_logo.jpg;1;0;1;2018-02-16 15:24:20;;;;;;;Start-up/PME;;Start-up/PME;;Enseignants & établissements;Entreprises;;;;;Outils de gestion pour enseigner et former;;Formation à des compétences techniques;;;;;;;;;Formation tout au long de la vie;;Serious game / learning apps;Solutions de distribution;;;Social media / outils de collaboration;;;;;;;;;;;Apprentis et étudiants en voie professionnelle;;;Individus en emploi;
26;Beekast;"Beekast est l’assistant digital le plus simple et le plus rapide pour rendre vos cours plus engageants et collaboratifs.
Améliorez l'expérience d'apprentissage grâce à notre web-app : comme sur Powerpoint, vous faites défiler vos slides, mais intégrez des animations (brainstorm, quiz...) que vous envoyez sur les ordinateurs de vos étudiants. Ils peuvent aussi poser leurs questions et s'entraider pour une meilleure rétention ! Tout ça sans téléchargement et gratuitement jusqu’à 30 étudiants ! ";"Beekast is the simplest and fastest digital assistant to make your classes more engaging and collaborative. 
Enhance the learning experience thank to our web-app: present your PowerPoint or PDF slides as usual but also integrate animations such as wordle, brainstorm or quiz you can send directly to your students’ smartphones or computer. They can also ask questions and help each other for a better memorizing! All this without any additional material and for free up to 30 students!";http://beekast.com/;2015;Yassine Chabli, Saïd El Haddati, Quentin Georget, Paul Lemonnier;nov.-20;3;75010;IDF;uploads/logo/beekast_logo.jpg;0;0;1;2018-02-16 15:24:20;;0;;https://www.facebook.com/beekastofficial/;https://twitter.com/beekast;https://www.linkedin.com/in/paul-lemonnier-startup-mkg/;Start-up/PME;;Start-up/PME;;Enseignants & établissements;Entreprises;Particuliers;Organismes de formation;Services publics ou associations;;Outils de gestion pour enseigner et former;;;Formation académique;;;;;Autres;;;Formation tout au long de la vie;Contenus innovants;Serious game / learning apps;;;;Social media / outils de collaboration;;;;;;;Autres;;Élèves du CP à la terminale;Étudiants;Apprentis et étudiants en voie professionnelle;Établissement et professionnels de l'enseignement;Particuliers;Individus en emploi;Individus en reconversion ou sans emploi
27;Beneylu;"Chez Beneylu, on rend l’école encore plus chouette !

Beneylu School réunit des applications pour l’école primaire, dans un univers en ligne, sécurisé et imaginé pour les enfants.";"What if working with your pupils was just more fun ?
Beneylu School gathers together primary school-based applications, in a secure, online environment designed specifically for your pupils.";https://beneylu.com/school;2009;Eymeric Taelman, Benjamin Viaud;6-10;3;95000;IDF;uploads/logo/1542638403.png;0;1;1;2018-02-16 15:24:20;;0;;;https://twitter.com/beneyluschool;https://fr.linkedin.com/in/benjaminviaud;Start-up/PME;;Start-up/PME;;Enseignants & établissements;;;;;;Outils de gestion pour enseigner et former;;;Formation académique;;;;;;Scolaire & parascolaire;;;;Serious game / learning apps;;;Learning Management System / CMS;Social media / outils de collaboration;Plateforme d'agrégation et distribution de services;;;;;;;Élèves de maternelle;Élèves du CP à la terminale;;;;;;
